firstname,lastname,player_name,email,password,isPremium
Elsie,Edee,ElsieEde,Elsie.Edee@gmail.com,QNxFVVQL,True
Thalia,Horan,ThaliaHor,Thalia.Horan@gmail.com,Lzn5k,False
Kimberley,Roxanna,KimberleyRox,Kimberley.Roxanna@gmail.com,-dxEWbYDY,False
Briney,Gaspard,BrineyGas,Briney.Gaspard@gmail.com,0d.nmeGdhK6JhF,False
Melanie,Germann,MelanieGer,Melanie.Germann@gmail.com,xZOtI9VI3d4r,False
Roz,Chesna,RozChe,Roz.Chesna@gmail.com,R5XWhpm_wJ2,False
Romona,Gaal,RomonaGaa,Romona.Gaal@gmail.com,hWXJwRHCpQD,False
Estell,Madox,EstellMad,Estell.Madox@gmail.com,bGfdn,False
Audrie,Barbey,AudrieBar,Audrie.Barbey@gmail.com,Z8flMWs,True
Bertine,Viddah,BertineVid,Bertine.Viddah@gmail.com,soTxrJXj6ABDy,True
Arabel,Saree,ArabelSar,Arabel.Saree@gmail.com,vwH6TWbvO,False
Ilse,Dex,IlseDex,Ilse.Dex@gmail.com,PxVaPR5ysPi,False
Tina,Tyson,TinaTys,Tina.Tyson@gmail.com,L0cCYHcl,True
Jean,Sherfield,JeanShe,Jean.Sherfield@gmail.com,KCOgyh2,True
Blondelle,Jess,BlondelleJes,Blondelle.Jess@gmail.com,"JDgSSmp ",True
Marylou,Wu,MarylouWu,Marylou.Wu@gmail.com,Ct f8Sf1_,True
Madalyn,Raul,MadalynRau,Madalyn.Raul@gmail.com,2Jy_QfVr LSi,False
Jerry,Orlene,JerryOrl,Jerry.Orlene@gmail.com,Ww9WoqL0,False
Ayn,Friede,AynFri,Ayn.Friede@gmail.com,uwl4e4M vfN,True
Fanchon,Engdahl,FanchonEng,Fanchon.Engdahl@gmail.com,To42ijy,True
Roseline,Desai,RoselineDes,Roseline.Desai@gmail.com,WmlCnC3,False
Fred,Bates,FredBat,Fred.Bates@gmail.com,DzS- 3vTs,False
Eve,LaRue,EveLaR,Eve.LaRue@gmail.com,Mn2eMAs,True
Wynne,Gilbertson,WynneGil,Wynne.Gilbertson@gmail.com,5Rols.aq16g9C,False
Aeriela,Ade,AerielaAde,Aeriela.Ade@gmail.com,rUL.F3lYX3n,True
Rori,Olympium,RoriOly,Rori.Olympium@gmail.com,06Xhc YS,True
Ardenia,Dorine,ArdeniaDor,Ardenia.Dorine@gmail.com," sdOVqT28sV",True
Rebeca,Alice,RebecaAli,Rebeca.Alice@gmail.com,x8WC0,True
Dorthy,Doig,DorthyDoi,Dorthy.Doig@gmail.com,jQ9VhtNY04LluX,True
Mariann,Alisia,MariannAli,Mariann.Alisia@gmail.com," xK y ccjJP",False
Edee,Gower,EdeeGow,Edee.Gower@gmail.com,y7cFaQaO1Gf,True
Blondelle,Halsey,BlondelleHal,Blondelle.Halsey@gmail.com,t 43UukeLt,False
Aimil,Rillings,AimilRil,Aimil.Rillings@gmail.com,Owh2ZOj.KVE5,False
Sheree,Lilas,ShereeLil,Sheree.Lilas@gmail.com,fwOHPRCWoVo,False
Cacilie,Goddard,CacilieGod,Cacilie.Goddard@gmail.com,YLjiU,False
Jacquetta,Rona,JacquettaRon,Jacquetta.Rona@gmail.com,dEljT4xLrW2T5_n,False
Corry,Barrus,CorryBar,Corry.Barrus@gmail.com,duDedBEnPSih_,False
Valera,Codding,ValeraCod,Valera.Codding@gmail.com,"CdS2g ",False
Mildrid,Heisel,MildridHei,Mildrid.Heisel@gmail.com,L4W-Cl6K,False
Damaris,Ochs,DamarisOch,Damaris.Ochs@gmail.com,hg13NXuD5zHp,False
Jillayne,Levey,JillayneLev,Jillayne.Levey@gmail.com,cuYFCJYy,True
Leeanne,Selway,LeeanneSel,Leeanne.Selway@gmail.com,uEC1Ub,True
Linzy,Mitzi,LinzyMit,Linzy.Mitzi@gmail.com,rJ5RLWSWT0.CM,True
